2024-03-04T20:03:41.669739 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-04T20:03:41.671031 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:03:37.022357 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:03:37.025848 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:04:26.943292 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:04:26.944720 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:06:44.311976 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:06:44.313949 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:06:55.416282 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:06:55.418628 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:07:10.665580 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:07:10.667374 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:07:21.179879 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:07:21.181253 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:07:21.954449 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:07:21.955085 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:13:40.815535 - MOVIES - Sending email to test@test.comfor userJohn
2024-03-05T00:13:40.817915 - MOVIES - Sending email to test_ma@test.comfor userMaría
2024-03-05T00:35:44.530405 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:36:07.524035 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:36:25.899619 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:37:08.908297 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:37:35.511592 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:38:20.882395 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:39:34.860857 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:39:36.513662 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:41:56.074814 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:42:53.370525 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:43:11.111352 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:43:31.097399 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:43:56.619495 - MOVIES - Sending push to abde1for userJohn
2024-03-05T00:43:56.620528 - MOVIES - Sending push to avd123sdfor userCarlos
2024-03-05T00:47:28.312310 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:48:26.093514 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:48:27.327495 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:48:28.116527 - MOVIES - Sending SMS to 123456for userJohn
2024-03-05T00:48:42.089414 - MOVIES - Sending SMS to 123456 for userJohn
2024-03-05T00:48:44.987311 - MOVIES - Sending SMS to 123456 for userJohn
2024-03-05T00:48:48.471060 - MOVIES - Sending SMS to 123456 for userJohn
2024-03-05T01:18:39.424710 - SPORTS - Sending SMS to 123456 for userJohn message: test1
2024-03-05T01:18:39.424710 - SPORTS - Sending email to test@test.com for userJohn message: test1
2024-03-05T01:18:39.424710 - SPORTS - Sending push to abde1 for userJohn message: test1
2024-03-05T01:18:39.428350 - SPORTS - Sending push to avd123sd for userCarlos message: test1
2024-03-05T01:19:52.168167 - SPORTS - Sending SMS to 123456 for user John message: test1
2024-03-05T01:19:52.168167 - SPORTS - Sending email to test@test.com for user John message: test1
2024-03-05T01:19:52.168167 - SPORTS - Sending push to abde1 for user John message: test1
2024-03-05T01:19:52.169849 - SPORTS - Sending push to avd123sd for user Carlos message: test1
2024-03-05T01:22:14.991620 - SPORTS - Sending SMS to test@test.com for user John, message: test1
2024-03-05T01:22:14.991620 - SPORTS - Sending EMAIL to test@test.com for user John, message: test1
2024-03-05T01:22:14.991620 - SPORTS - Sending PUSH to test@test.com for user John, message: test1
2024-03-05T01:22:14.993910 - SPORTS - Sending PUSH to test_ca@test.com for user Carlos, message: test1
2024-03-05T01:23:16.627415 - SPORTS - Sending SMS to test@test.com for user John, message: test1
2024-03-05T01:23:16.627415 - SPORTS - Sending EMAIL to test@test.com for user John, message: test1
2024-03-05T01:23:16.627415 - SPORTS - Sending PUSH to test@test.com for user John, message: test1
2024-03-05T01:23:16.629605 - SPORTS - Sending PUSH to test_ca@test.com for user Carlos, message: test1
2024-03-05T01:31:46.904799 - SPORTS - Sending SMS to 123456 for user John, message: test1
2024-03-05T01:31:46.904799 - SPORTS - Sending EMAIL to test@test.com for user John, message: test1
2024-03-05T01:31:46.904799 - SPORTS - Sending PUSH to abde1 for user John, message: test1
2024-03-05T01:31:46.906229 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: test1
2024-03-05T01:31:49.002238 - SPORTS - Sending SMS to 123456 for user John, message: test1
2024-03-05T01:31:49.002238 - SPORTS - Sending EMAIL to test@test.com for user John, message: test1
2024-03-05T01:31:49.002238 - SPORTS - Sending PUSH to abde1 for user John, message: test1
2024-03-05T01:31:49.004328 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: test1
2024-03-05T01:53:38.484861 - SPORTS - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:38.484861 - SPORTS - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:38.484861 - SPORTS - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:38.487545 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:53:41.042098 - SPORTS - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:41.042098 - SPORTS - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:41.042098 - SPORTS - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:41.047706 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:53:43.073676 - SPORTS - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:43.073676 - SPORTS - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:43.073676 - SPORTS - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:43.074809 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:53:44.053380 - SPORTS - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:44.053380 - SPORTS - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:44.053380 - SPORTS - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:44.055780 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:53:45.166741 - SPORTS - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:45.166741 - SPORTS - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:45.166741 - SPORTS - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:45.168203 - SPORTS - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:53:53.292323 - MOVIES - Sending SMS to 123456 for user John, message: 
2024-03-05T01:53:53.292323 - MOVIES - Sending EMAIL to test@test.com for user John, message: 
2024-03-05T01:53:53.292323 - MOVIES - Sending PUSH to abde1 for user John, message: 
2024-03-05T01:53:53.293735 - MOVIES - Sending EMAIL to test_ma@test.com for user María, message: 
2024-03-05T01:53:53.294262 - MOVIES - Sending PUSH to avd123sd for user Carlos, message: 
2024-03-05T01:54:03.051348 - MOVIES - Sending SMS to 123456 for user John, message: test
2024-03-05T01:54:03.051348 - MOVIES - Sending EMAIL to test@test.com for user John, message: test
2024-03-05T01:54:03.051348 - MOVIES - Sending PUSH to abde1 for user John, message: test
